reviewer name,number of reviews by reviewer,review title,review rating,review
Paul,3,Ordered some gloves from Myer Online…,Bad,"Ordered some gloves from Myer Online with next day delivery.The gloves where coming to work. I received an email saying they had been delivered at 6:59pm. No one was at work to collect them. Had Rtb as the signature.Came in the next day to check if they had been delivered. No where around.Ended up calling StarTrack. They said it was a night delivery and couldn't be changed to a daytime delivery. Said Rtb was from the driver (Return to base), so it headed back over to Port Melbourne although the email from them said it had been delivered. StarTrack said I would have to contact Myers and ask them to send them an email to redeliver the package.Called Myers. Had to get it delivered to home address because they can't change to daytime delivery. Said they would get it delivered to my house between 7pm and 9pm. Got home and waited. Nothing.I'm guessing this saga is going to be revisited again today because this is obviously my fault."
Michael McCrory,2,Very bad service,Bad,"Very bad service. i ordered a specific item online and had to chase up the delivery a couple of times before being told the stock was on back order. The lady on the phone was awesome, but the store and process was very ordinary. Also had no way to complaint to them personally. I will never use again."
Swasti,1,Disgraceful service,Bad,"Disgraceful service. Not only I have had to follow up on my click and collect order multiple times, when the transaction was finally processed, my credit card was charged twice for the same order. When I contacted customer service I was advised they were still waiting for Finance to provide an update. This has been going on for 3 weeks and my duplicate charges have not been resolved. No updates are provided and I am simply sick of following up. Pick up your game Myer, disappointed with your service."
Ellie,1,Pathetic pathetic Service,Bad,"It has been a month i am waiting for myer to contact me they have my money never have dispatched my stock half they sent damged and old stock i am yet to hear from them below is all the emails i have sent them.  Never ever shop with myer just like their awful service in store its ten times worse online  one caresHello, I have sent so many emails yet no response still awaiting on my goods staying out of pocket and not getting any action from you guys absolutely shocking i have records of my all emails be rest assured i will be contacting consumer affairs that you have failed to provide my good or service!! This is unbelievable i will never ever shop with myer again i did not know such a big company will deliver such a horrible service. Im missing 3 items that was never dispatched Parka jacket Gayle pump shoes Pixie glow maskTwo items damagedFluffy baby jacket stained photo provided previouslyAnd dkny shoes missing laces has marks is old and customer returned stock photos provided before I want my full refund for all these items i am sick and tired of repeating myself.I am overseas i actually need my money you have failed to provide the goods and its taking one month and still no one is doing anything at all!!  This is ridiculous!!!! Advise asap before i take serious action against myer. Sent: Friday, June 21,  2019 5:24:20 PM To: MYER one Customer Service Subject: Re: [# 230829] Order no  1059453267   Hi This is not my issue, whatever you have to do should have been done ages ago i have sent various emails you guys didn't even bother to respond until i emailed again!  Why is it my fault, i have spent alot of money yet you have failed to provide me the product or at least a timely action to rectify the issue this beyong average.  What about the gayle pump shoes, what about the pixie glow mask and the parka jacket 3 items missing!!?? And what about sending me a old damaged pair of dkny shoes and a stained baby fully jacket, i bought all these to bring them over seas as gifts for my family half of my order was not sent half is damaged and stained and i am out of pocket to repurchase the items!!!  That is pathetic i have i formed you guys ages ago no one cared!!  I want to take this further get your manager or supervisor to immediately take action do whatever you have to do to fix this, as a customer i have paid my money hoping to get the product and service yet i got neither i will contact ACL and informed them of this issue.  Advise asap???? Hello??  Any update on my order????  Worst service ever!!  Please advise asap??!  Get  Outlook for Android From: Sent: Wednesday, June 19,  2019 1:27:05 PM To: MYER one Customer Service Subject: Re: [# 230829] Order no  1059453267   Hi So first i got one parcel which was 1 pack of baby swaddle, then i got another parcel which had two tshirts one guess and one lee one, then after i got another parcel which was baby mobil soother. After that there was two last deliveries i had big issues with post office. So picked up two parcels from post office one containing dkny shoes that is missing laces dirty diff looks used or a return, and another parcel containing another set of swaddles, a stained fluffy jacket and a bunny and a tub of face mask.  The parcels looked like it was chucked around dirty and worn out.  So a parka jacket was suppose to be in parcel with the guess and lee tshirt The gayle pump shoes and pixie glow mask was suppose to be with parcel containing the bunny. These items has not been sent out  The fluffy baby jacket and shoes are dirty, damaged and old. This is beyong ridiculous i get things delivered from states and it arrives within 3 business days and i bought this order on the 6th of june and still have only some of them and that too in bad condition.  I have a flight overseas on friday these are gifts i am also 7 months pregnant which is why i bought online to get it delivered most of the items i had to pick up my self from post office. I want an urgent action please from your side today. Please advise?  ￼ ￼ To whom it may concern, I placed an order 5th June spending nearly a thousand dollars. I emailed you guys straight after i placed an order to send them all asap as i am going overseas and these are for gifts. Never received a reply from Myer whatsoever. I have had to deal with so many issues with your courier, because it was suppose to be delivered it parts, the courier never attempted to deliver nor leave a card for collection nothing at all every time i would get an email that it is ready for collection i would go yo post office and they would say nothing there to collect, the courier had lost all the parcels after like 5 phone calls and emails to post office i finally managed to pick a few bags from post office yesteray. Worst experience ever. Came home to open the packages all of them looked ragged ripped as if was opened and resealed ir dumped around came to find out that half of my items are missing or damaged!! I am very angry and cannot believe that i had to wait such a long time face headaches with your courier then find out my order is incomplete and damaged.  Here are the items that i am missing and damaged Missing New model microfiber parka jacket Gayle sandstorm pump shoes Pixi glow mud mask Stained Damged Fluffy jacket stained Dkny shoes -missing laces and has a paint stain looks like a customer used or return For a big and well reputed company like myer to have worse courier experience, below average service and providing incomplete non new items or dispatching without checking their stock is absolutely disgusting i did not think this is possible.  I need an urgent reply and action! Please advise asap what on earth is going on??"
Jees,1,Absolutely disgrace customer service and minus rating deserved,Bad,"Absolutely disgrace customer service and delivery procedures..I had ordered a shoe online and received a message saying delivery with in 3 to 5 days.. Well,I was waiting waiting after 10 days I had called them and had to wait too long to get them on phone customer service guy was saying sorry the product not available and he don't know where is this shoe located store so better take your refund or wait another two weeks and call them back if you would like to know the status 😡😡..I don't know what to say..I still don't know how this company exists after this many complaints.. ridiculous.?"
Cat Cimino,1,Dissappointed!,Bad,"MYER was my go to store for fashion and gift shopping, now I am deciding whether to ever order again from them. This last online purchase, found my order being processed sent to my old address of 4 years ago, and wasting time on the phone to Australia post and MYER customer service. Aus post were helpful, and I called MYER 2 times to fix this. The first call I can no believe, to change the address and fix where it was being sent and see why that address was still even being used, when I have ordered since moving, the lady told me to call back 4 hours later that day to fix, which I did, and it was not the case. The second person said they could not remove the address and I had to log in and do so. When I did this, the old address was not even present there, wow! At this point frustration and anger kicked in. The third lady at Myer was excellent, though I still don’t know if the package will arrive to correct address, fingers crossed! A fail by MYER..... Latest update - both parcels still sent to wrong address after all the time on the phone with MYER, and since I have tried to order online, and when I log in with my address since posting this review, I can not make any order and page just says can not work for some reason, coincidence? I think not. I tried on different devices and same thing, so I tried logging in as a guest and no problem putting order through, funny that!!  I have reduced my review to 1 star"
customer DB,2,"This should be a rating in minus,",Bad,"This should be a rating in minus - the product was advertised in print media but was not available in store and I was directed to order on line. The on line experience was poor, requiring multiple attempts.Then I could not track the order on line, after a week I rang the 1300 number to find there was never any stock, not available when ordered. If I hadn’t rang I would have not been notified for another 2 weeks - told that is just the way the system works! I needed to then cancel the order for a refund to be processed, the call centre operator continued to say it was the way the Myer system worked - well in my experience it doesn’t work at all. Very poor experience Myer - look out shareholders you are in for a big dive if this organisation doesn’t improve its on line capability and provide, at a minimum - reasonable customer service. Be very careful about ordering on line with Myer - look for alternatives."
Nikki Schneiders,1,I recently purchased sheets etc from…,Excellent,"I recently purchased sheets etc from Castle Hill Myer 13/06. I just wanted to say that the professionalism of Dale who served me was outstanding. She was very patient, friendly and very efficient. She went out of her way to help me. My shopping experience was very pleasurable all due to Dale"
S F,1,Today I tried to make a purchase online…,Bad,"Today I tried to make a purchase online for a total of $787.  The Myer website declined the credit card transaction and said to check my details were correct.  After re-entering the card number a couple of times I called my bank to check what the issue was.  My bank told me there was no issue and Myer had already charged me $787 5 different times for a total bill of almost $4k!!I called Myer to ask them to cancel 4 of the orders, but Myer customer service told me that they didn't have any orders in their system for me.  They have requested a refund for me, but they will take a week to process it. So now I sit and wait, in the meantime I have to try to pay the rest of my bills with 4k less money than I thought I had."
Mitchell Kerr,7,Myer - Probably the world's worst customer service.,Bad,Purchased through myer 10 days ago. The transaction kept saying error so I tried a different card. After about 20 minutes I gave up as the transaction would not go through. Shortly after this I realised one of my cards had been charged 4 times and one had been charged twice. A gift card I had used also now showed zero balance even though no order was processed.I've now been dealing with customer service for the past 10 days to try and rectify the situation. My cards have been reimbursed today which is good however 10 days later they still have not reimbursed my gift card. I advised from day one that the item I was buying was for a birthday which now must arrive in 3 business days time and yet still I haven't received anything. Guess the express shipping is now another cost I have to take on.... Thanks Myer!As always Myer never ceases to surprise when it comes to customer service. It's on par with the worse in the world. No wonder you've nearly gone broke several times!
maria scuglia,1,Castle hill store amazing,Excellent,"Castle hill store amazing , Maddy in homewares  took her time with a smiling face ,, and genuinely  wanted to find my product  , even thou she had a line of people behind me, she rang another store and helped me to do online purchase .Outstanding 😁"
Annette Lang,1,Don't buy shoes online with Myer,Bad,"Don't buy shoes online with Myer.  They made an error and sent out the wrong shoes.  When I rang to ask them to correct this - it was all on me... I had to go into store,,,, I had to go to the post office ... wait for a refund to occur and then re-purchase.It was there problem and yet I was the one who had to do the work to resolve.  They said they were bound by a certain system as the shoes were from another supplier.... sorry I purchased them from you Myer!!  Take a look at your internal systems Myer - where is your customer service???????????"
Annie K,1,Great customer services in the Perfume Department,Excellent,"Went to Myer at Penrith Westfield on Saturday and was served by a lovely lady named Cathryn in the perfume department. She was absolutely sweet, kind and very helpful! She made sure I was looked after and made me feel very welcomed 😊"
Melissa Hatton,1,Very disappointed,Bad,"Hi Myer,I just wanted to give my opinion on your customer service at Macquarie Centre Myer, My Mum and I are deeply upset with the way we were treated today we spend so much money at your store and we should not be treated the way we were, No one wanted to help us at the iron section I had to get a tefal person to help us and then when we went to purchase the item the older lady and man were serving one customer and left us standing there until then the older lady walked away with out acknowledging us and the man said won't be long 5 minutes later he is still serving her So my Mum and I walked away to another register. I cannot believe you don't have the appropriate staff and the staff that you do have have no customer service what so ever. We will consider next time not coming into your Mayer shop and spending our money else whereI hope we get a personal apologyThank u Melissa"
Stephen Doddy,1,I rang the Carousel store and spoke to…Adrienne at 0910 on the 28/05/19.,Excellent,"I rang the Carousel store and spoke to Adrienne and inquired about a leather jacket I had seen advertised. Adrienne was so helpful, and reserved the jack for me until later that day. My wife and I went to the store and Adrienne had saved 2 jackets for me to choose from and then personally fitted both the jackets on me, just good old fashioned service. Wonderful."
Seth Deal,1,I would like to compliment Ana in the…,Great,"I would like to compliment Ana in the mens shoe dept at Werribee Plaza store. Her service, efficiency and demeanour were outstandingly good. Thank you"
Toni Louise Binns,1,Fantastic service,Excellent,"I was so impressed with the quality of service given by Susanna up on the men's wear department.Her friendly, helpful attitude and nothing was a problem, I was buying gifts for my family in WA and she suggested the free shipping straight to my family. Myer launceston is very fortunate to have a sales consultant like Susanna."
Ashley,1,Absolutely disgusted in the service…,Bad,Absolutely disgusted in the service that's provided in the penrith office by the ladies on the perfume floor not only was it a poor experience twice with my mother on law I encountered one myself I wouldn't waste my time money or energy on these ladies that are nothing but rude and judgemental with there absurd gestures of paying customers been theieves and snarly comments
F Ian Curtis,1,Five star service from lydia at Myer Carindale,Excellent,"Five star service from Lydia at Carindale Myer. I have just returned with purchases from the dining ware and cutlery department of Myer Carindale Queensland.Staff person Lydia provided the best shopping experience I've ever had in Myer, with support, educating me about the items and accessing stock. All done with enthusiasm and grace.Five stars Lydia , thank you so much. Ian Curtis"
michelle betton,1,Great Customer Service.,Excellent,I would just like to say that I have had excellent service from Prue at Rodd & Gunn Joondalup. I shop for my husband who hates shopping and Prue is just fantastic at getting him the right item and fit. Nothing is too much trouble for her and she really goes all out of her way to make sure that I'm happy with my purchase. Thank youMichelle Betton
Anne robertson,1,taking shape and every other department,Bad,Myer where is your service I have been to taking shape and as usualI been ignored the girls are too busy doing nothing no one helps you a chimpanzee could do a better job sack your staff and begin again no wonder your profits are down pathetic otherwise Myer will closeForever you deserve to
Alan Doherty,1,Many thanks to Kim from Erina Fair…y,Excellent,"Many thanks to Kim from Erina Fair Women's section who spent a great deal of time and moved mountains of red tape to help me.  My son had given me a beautiful overcoat for Mothers Day which was too small. Not wanting to hurt him I approached Kim who found there was a larger size available.  Kim, ably aided by Sharon when the computer caused problems, managed to set up the order for the replacement. I was amazed when notificationl came that a replacement had  been found in a suburb of Townsville and is already on its way to my front door by Australia Post.  I am so happy.ANITA DOHERTY"
Tracey Bono,1,Thanks Jo Anne from Myer Shellharbour,Excellent,"Thanks Jo Anne from Myer Shellharbour For going 5 star service, very rarely happens any more, so it should not go without a shout out, Jo Anne works in ladies clothing and was able to track down a much needed item. Thanks again"
David Hage,1,Cant believe how poor the service is at…,Bad,"Cant believe how poor the service is at Myers, Went to the city branch to buy a beanie for my son and despite been in the childrens section on the top level.I asked 5 staff members  and only one person was able to assist and despite them telling me there was none for kids it was on the shelf behind them.Myers you need to get your finger out your staff look so miserable its like they dont want tpo be there.  wasnt goint to even give you one star thats how poor the service is."
Unknown Unknown,1,sick of the bloody errors and excuses.,Bad,sick of the bloody errors and excuses.
Anna Para,1,Myers Robina,Bad,"Have been to this store numerous times as I work in the area dressed in business attire as always!One particular day was my day off from work and I was off to purchase a gift,  I walked in with my pram, baby asleep and casual attire with my bun up and No makeup “wow watch out your a true target or theft ” I was watched the entire time!!!By disgruntled looking woman who have nothing better to do than creep on you and ring upstairs and downstairs to watch where I was?!They didn’t realise I was watching there every move including phone calls and eye signalling towards me.To bad I caught onto your extreme customer service creeping ways and threw everything back only to go to David Jones and purchase everything there.There was one lady in the fragrance area who was ever so helpful and passionate about what she sold, had mentioned I was looking for a present for my mothers 60th, her customer service alone sold me on the latest perfume.  I told her I had a few other places to visit whilst my baby was asleep, was bliss on my day off to browse around and I’d come back for her to wrap them which she was happy to do.I walked to the home fragrance area which my mother and I both adore and asked one particular sad soul for help (who was the lady that started this saga), because of the way I looked she immediately threw me into that category and proceeded to ignore me after asking for help.To the lovely lady in woman’s fragrance thank you!!! I am sorry you have to work with such twisted and delusional woman that no amount of make up will ever cover there flaws! Do not visit his store if you are not dressed to Myer standard, have a pram, no make up, messy bun and tanned skin because the customer service lacks in more ways than one.I work in sales and the woman in this store are way past there use by date! Where’s all the happy smiling and beautiful souls that live and breathe sales and customer service?? No wonder it’s always so dead!Lacking in everything!Worst experience ever!! Will never go back here again!"
Stuart Lingham,1,Where has all the service gone?,Bad,"Visited Myer Albury today to purchase a suit, shirt, tie etc. for my daughter’s upcoming wedding. With no offer of assistance we proceeded to self-serve by trying on suit jackets and walking between the fitting rooms and the suit racks to try on different items. Still no offers of assistance. We then moved to selecting a shirt, tie and belt. Again, little interest from the few staff in the vicinity. Finally, we proceeded to the service desk to pay for our armful of merchandise. The staff member who served us was pleasant enough but gave little outside processing the transaction. We left Myer feeling bewildered by our experience, lamenting the days when Myer’s customer service was the best in the business."
Dona Munasinghe,1,I would like to say how wonderful it…,Excellent,"I would like to say how wonderful it was today to have such a great customer service from your team member"" Yalem "" at Myer Fountain Gate.  She was very kind, polite, helpful with price checking patiently and most importantly serving with a smiley face every time.  Always I love to see her no fuss at all.  Thank you Yalem for your loyal service I greatly appreciate it at all times."
Jacqui Rogers,1,I have shopped a couple of times in…,Excellent,I have shopped a couple of times in children’s wear the fountain gate and have been served by Liza both times ! She was very busy both times but handled the situation fantastic ! What a lovely lady with a nice natural personality. I like to give credit where credit due as I worked for MYER at Southland for over 20 year so I could could totally relate ..keep up the good work Liza .
Karren Sheldon Stoneham,1,Need more staff in Geelong.,Bad,"Need more staff in Geelong.Although the two staff members they did have were serving one customer while five others waited to be served. Poor customer service, long waits. Losing customers"
Alison,1,Glyniss @ Myers Liverpool store is a…,Excellent,"Glyniss @ Myers Liverpool store is a wonderful lady who portrays what good customer service is. She is professional, polite and super helpful. What a pleasure to shop there with staff like her."
Michael  Bell,2,What a fantastic experience at Myer…,Excellent,What a fantastic experience at Myer today. I've had the need get several pairs of shoes for my growing children the past 12 months and simply keep going back to Myer at Pacific Werribee. There's a lady called Patty and she is just great to deal with. Always a smile and a laugh. She measures the kids up and makes it so easy. Just a pleasure to deal with. Regards Mike.
Peter Cipo-lla,1,Disgusting service from Myers Curcus online,Bad,"I’m just going to say what happened and make up your own mind if it’s satisfactory. We bought some Kitchen tea presents from a registry 1.5 weeks ago and after multiple calls for the whereabouts of the merchandise, it is now the Thursday evening before the weekend of the kitchen tea and still no delivery. No staff can lie straight in bed. If our online business was run like the Myers circus we wouldn’t have a business. We have now been told to go and pick it up at a local Myers. Anyone doing any sort of registry with this circus of a company run right away they will disappoint your guests and the frustration may end you up without a gift."
Pearl,2,I would like to say how wonderful it…,Excellent,I would like to say how wonderful it was today to have such great customer service from your team member Lynda at Myer Chadstone. She was so helpful and kind. I called in to return a French Connection jacket I bought from your Myer city store on Saturday as it was to small and I said your store does not have my size but the French Connection store at Chadstone has my size. She offered to go and get it exchanged instead of me doing so.  I told her I would wonder around the ladies department whilst I waited. She then looked for me and said it’s all done. Your receipt and jacket is in the bag.  What lovely service from her with a smile. Thank you Lynda.
LORRAINE LAVEA,1,Worst customer service,Bad,"Worst customer service, worst online shopping experience I have ever had,It’s sad that Myer backed by big naked Brand’s can’t get the most important skill right, I ordered stuff online understandably since it was three days ago it wouldn’t be ready to pick up on the second day An order placed on Monday and by Wednesday I understand it wouldn’t be ready but what I don’t understand is the level of customer service I got when I was so desperate to try to see if they  could find a way for me to even go a different store to get my order, it was one no after another I’ve worked in retail for 20 years and one thing I know you must do is try and go out of way to see what you can do for the customer.Bottom line never will I ever shop at Myers again"
jill Margaria,1,I was shopping at your Morley galleria…,Excellent,"I was shopping at your Morley galleria store today, was served by Agata, your David Lawrence staff member. I was given excellent and friendly service by her, she al had great product knowledge and I ended up buying 2 items when I wasn't even looking to buy. she is an asset to your company and there should be more like her in Myer stores."
John,1,Visited Myer Chatswood today to change…,Bad,"Visited Myer Chatswood today to change some wrong fitting pants gifted by my wife. Said hello with a smile to the stone faced assistant and was greeted with an angry ""YES?!"" reply. The whole approach of this Myer sales assistant was confrontational. I asked if I could exchange the pants for the right size and it was if I had asked for her blood. Not one person working there knew where anything was.When you receive better service at a drive thru McDonalds you know something is wrong with a department store.I would never ever buy or visit their store again. Unpleasant, time consuming, horrible experience.Good luck when you go into receivership."
Christina Georgiadis,1,Exceptional customer service from Toni,Excellent,Today  I received  exceptional  customer service from a lovely  staff member  at Myer Tea Tree Plaza.  Her name  was Toni  she was so helpful  and spent  an hour with my daughter and myself  assisting us.  Thank you soo much Toni  you have  a natural  gift and your warmth  and customer service was amazing .  I wish you well  and look  forward  to shopping  again  at Myer !! Keep  up the great  work!!!
Anne Baillie,1,Dont buy online from Myer,Bad,Paid for a coffee machine and chose click and collect. Order stated that stock available at Sydney store.  Went to pick up - no coffee machine - no record of my order - no email explaining - they have debited my credit card.  Myer Online = Take your money and dont give you what you paid for.  Ashamed your Australian.
MGN,1,Unsafe shopping area,Bad,"Went to Myer Garden City in WA on Sunday, 17th March 2019. One of the wooden shelf fell on my foot. Fortunately there was no bone fracture but my foot was bruised and swollen. First aider came to help. The floor manager only cared about filling in the incident report.No follow up or compensation were offered to me since then."
G-Shocker,1,Myer Bourke Street - good luck buying a G-Shock Watch,Bad,"Myer Bourke Street: Myer keeps talking about stores offering experiences rather then just buying stuff but the experience with Myer’s G-Shock watch counter is a bad one. Literally every time I go in there the staff member is on the phone chatting or wandering around other areas of the store. Good luck trying to buy a G-Shock watch or even try one on. I have been in maybe 20 times over the last 6 months and all you can do is wander around looking at the G-Shocks in their sealed glass cabinets because he’s standing there with his back to the area on the phone. He looks the part; funky dressed and wearing a cap but you can’t even get in his eyeline as he’s huddled over the register facing a wall, on the phone. I’ve toyed with the idea of grabbing the keys from under the register when he’s off chatting at other counters just so I could have a look at a watch. At least I can get an idea of size and look for when I go and buy online which is a better experience than Myers’s experience. I’d love to know whether he’s a Myer employee or working for Casio. I assume the latter as he probably doesn’t have a manager who can check in on him. Otherwise I think there might be better customer service."
Nina Gilmour,3,I have visited Myer Bourke Street - The Ordinary,Bad,"I have visited Myer Bourke Street, Melbourne many times and most times have had no issues, however, each time, in the last few months  I have visited and bought products from The Ordinary - Deciem counter, the service has been flat, obnoxious and rude. Each time there has been a lady at the counter, three times two different women, both with the same obnoxious attitude. I can easily buy these products from the Chapel street store where I have had fantastic service. Not sure who is getting training there, but they should learn a few things about customer service."
Varold,2,I love shopping at Myer!,Excellent,"I have used many forms of shopping at Myer - online delivery, click and collect and in store. Never had any problems, always quick and easy. I love their products, the quality and they have fantastic sales."
Wallart pops,3,Have been looking for some really…,Bad,"Have been looking for some really special shoes to wear with a vintage style lace dress I bought to wear to a wedding. Went on Iconic and they had a few nice ones but were not quite right so thought I'd give Myer online a try. O. M. G... the shoes they had were like something a seventy yr old with bunions would buy from the chemist. Ugliest, most boring shoes I have ever seen. Seen better styles in Spendless. From memory the last time I was in the store looking for clothes they weren't much better. Whomever they have purchasing stock should be fired immediately and replaced with someone who actually knows something about fashion and current trends. No wonder they're going broke. Myer used to be a great department store but now they're just old and stale. Selling the same old labels and designers that have been around for decades. Shame."
Steve,1,In store today looking for a suit and …,Poor,"In store today looking for a suit and  must admit was very disappointed with the service. Most times, either no one was there, or when they were they didn't even bother to serve you. If you were the next aisle over to there little fithdom, you didn't matter. Thanks to those who did, pity stock is so poor, no sizes were available. Signs with further 25% off suits were vague and no one could advise when and where they applied....crap service Myers, just crap"
Rosemary Crossley,1,Go to Myer if you need help from…,Excellent,"Go to Myer if you need help from skilled staff.  I need special bras and special shoes.  Both departments in the Bourke Street store have knowledgeable, helpful and gracious staff.  Today when I said ""I need shoes just like the old ones I'm wearing."" the assistant  said ""Ah, they're Bounce.  Sadly they're not made any more.  The closest replacement is Nature"" and produced 2 sizes, one of which fitted perfectly.   Our recent Myer experiences have all been fun, with friendly assistants, comfy chairs for my partner to sit in while I try things on, and better outcomes than shopping on-line.  I couldn't find 'Bounce' shoes on line, and had no way of knowing 'Nature' was the best replacement.  Same with bras - the brand and size I needed wasn't findable anywhere on line, but an assistant tracked it down in the store, even in my preferred colour.  I bought all they had!And there's Brunetti's for coffee...."
Danny O’Neill,1,Presumption of guilt.,Bad,"Tonight the 7th of February 2019 will be the last time I ever purchase anything in a Myer Store. I was shopping with my two Daughters at Cairns Central Myer and after purchasing $200 worth of clothing we went to get both of my Daughters some Perfume. One of my Daughters had selected the one she liked and we were walking around looking for one for my other Daughter when one of the shop assistants started yelling out “ excuse me” I heard her but didn’t take much notice because why would she be yelling at me. Anyway I stopped and looked and it was me she was yelling at, she then said to me “ we like people to purchase the goods before leaving the store Sir”. So I put the $180 bottle of Perfume on the display next to me and said goodbye. I cannot believe how rude she was yelling at me in front of other customers and she obviously presumed I was going to steal the Perfume I was holding in my hand. She didn’t even wait until I had left the area where the Perfume was being sold before she did this. I presume I wasn’t dressed to her standards on something stupid like that but I can guarantee I earn three times more than she does in a week and none of it will ever be spent in a Myer Store. RUDE."
Cathleen,1,Just don't shop online at Myer,Bad,"Just don't shop online at Myer. Customer service is terrible. They me sent the wrong item & their only solution is for me to take it into a store or take to Australia Post for return. They refused to send me what I actually paid for until the item they sent in error was returned. The item I ordered was then out of stcok. Beware that when Myer make mistakes that are 100% their fault...the onus is 100% on the custom to fix it. Was told this by unhelpful customer service - ""it's their policy & available on their website"".Any wonder they are going broke...the retail sector is dying and they have no ability to complete with the customer service of credible online retailers."
Marnie,3,No wonder shareholders are annoyed; Myer bites the big one,Bad,"I really do appreciate great customer service from a store that leaves you showering the sales person with 'thank yous' and a smile when you leave.  Alas this is not so at Myer.  The staff seem to think that they work at some sort of 5 star store that only the very well to do are appreciated.  Every time I have been to the Galleria Morley store I have never left disappointed at some snotty staff member who obviously has better things to do. Today I went to the shoe department hunting for some boots for winter. However I got to stand at the counter waiting and waiting and waiting for the woman to get off her personal phone call (on the company phone by the way) only to be met with a look of 'thanks for interrupting me' on her face.  She couldn't help me with what I wanted and told me to go to another store.  Now normally I am not a rude person, but I was really ticked at this stage so I looked at her and walked off without saying a word (and big surprise she wasn't wearing a name tag, so I don't know who I am talking about).On another occasion In the lingerie section (I was only there once and that was enough) I asked a lady if they had more of a specific item in stock that I wanted and she just pointed to the shelves and said 'no that's it'.  Excellent!Or how about one morning where myself and quite a few others were standing at the doors waiting for them to open (it was 9.10am) when the lady bringing them up motioned with her hands that we weren't allowed inside yet.I don't believe it's just shopping sites that is killing off Myer it's their wonderful caring staff that are pulling the plug to let this department store go down the gurgler! Oh and I agree with the (I think he is a major shareholder, he spoke of Myers problem a few months ago) that inside the store the dim lighting really does make it look like a MORGUE!"
JOHN KULCZYCKI,2,Haven't things changed in our once…,Average,"Haven't things changed in our once great store from staff falling over themselves to assist you to no one, well the experience I had, I did notice one female staff member but she was busy chatting away with friends she had seen in the store. Honestly I walked and it was like no one works here except for make up. Sadly my wife tells me this is the norm, I beg to differ as our local at Liverpool the staff are as they were  helpful. Don't know what has happened at Pacific Fair."
Jen Garnet,1,Myer Online,Bad,"Myer Online - forget it!Stock levels are wrong.They won't honour in-store pricing.No live or online help (not even email) - in a 1960s move from Myer you have to phone them within office hours to get a response.Ordered something online shown as in stock.  Days and days later get a notification it's out of stock and they'll refund you.Absolutely hopeless; 3 out of 4 items I wanted to buy showed as in stock and then either said out of stock in basket, or I got the dreaded cancellation email.NEVER AGAIN Myer Online, never ever again. Waste of time, phone calls, patience, effort. All that time and effort and ended up with NOTHING!"
Bill,7,Disgusted!,Bad,"Wasted my time and money. Placed an order at the Box Hill store to pick up from the CBD store which is a fair distance from my place of residence. When I arrived to collect the item 2 days later I was told no stock and that they would be glad to offer me a refund?! Wasted close to 2 hours for a product that they didn’t have. Only received an email a day after I went that they didn’t have the products! “Customer service” offers $10 for compensation. What a joke?!! Never ever again, will I shop at Myers."
Sue Sue,4,Pleasantly Surprised :-),Great,"After all the horrible comments I had read 'after' I placed an online order with MYER, I was pleasantly surprised by the speed of the order delivery and both email and SMS updates on it's status !!!It has been an exceptionally pleasant experience.I still think their website desperately needs updating as compared to the last time I ever placed an order online; it has fallen behind the competitors dramatically and is much harder to navigate than it used to be.I virtually had to type in what I wanted in SEARCH as browsing via menus just didn't produce any results !!"
Silvia Cicciarella,1,Where is the customer service,Bad,"Wanting to buy a suit for my son we visited Myer Melbourne, thinking we would receive good knowledgeable service - very disappointing. After walking around for ages being totally ignored, we proceeded to try on various suit jackets in the middle of the department but still no service. There were staff around, some busy talking to each other while others sat at laptops completely oblivious. We eventually moved to the fitting rooms to try on trousers, thinking there would be someone helpful there, but alas, nobody. Even while I went back and forth from the fitting rooms seeking different sizes for my son to try..... nothing, no acknowledgment, nothing!!! After an hour or so of roaming around the department and about to give up, one gentlemen, obviously returning from a break, took off his jacket without any hesitation and proceeded to find pants, shirt, tie and pocket square to match a jacket we had selected. Jacob from Aquila you are a star!! You did not hesitate to assist even though we had not selected an Aquila jacket. If it were not for you we would have left with nothing. Not only did you save us from another shopping trip but you were pleasant, helpful and made the whole experience pleasurable. $400 later, I have a happy teenager and a free weekend. Thank you Jacob, keep up the great work. To all the others working on the floor tonight, you do not deserve your jobs - bloody useless. Myer - your reputation of great customer service is shot. It’s little wonder your sales and profits are down, lift your game and bring back the Myer of old."
Justin,3,Where is the customer service??,Bad,"Went to Myer Garden City, WA to inquire about price match for purchased product. The staff was unhappy and denying all possibilities. Where is the customer service? Don't think I deserve such treatment by being a customer. Wish I could turn back the clock and never step into Myer."
Debra Casey,1,If I could give higher I would.,Excellent,"If I could give higher I would.We spent this morning in Myer Northland in the ladies wear section.To say Linda in ladies wear and Silvana in lingerie were amazing is not sufficient.Stunningly polite, capable, patient.My mum was over the moon.Thank you Myer.Brilliant customer service.Debra"
Karen walker,1,I ordered shoes for a function mid jan…,Bad,I ordered shoes for a function mid jan 2019 using after pay....so far i have payed 3 payments totalling  $150 with no shoes a month and a half later!! Called them 3 times abd eventually cancelled order. Another 2 calls still waiting on refund.  Again told today money would be refunded hasn't happened! Totally unprofessional and zero customer service.  Also funny how you cant write a complaint to myers website?? Next step ombudsman! ! Absolutely pathetic! !
